,countrycode,year,rgdpe,pop_x,country,democracy_score,epp,fg,pp,pc,cl,category,Deathperevent,Affectedperevent
986,DOM,1998,7268.87072291,8.296375,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,41.8254960751,117592.924621
991,DOM,2004,8108.95113033,9.102997,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,38.6136565793,1332.58310422
992,DOM,2004,8108.95113033,9.102997,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,38.6136565793,1332.58310422
995,DOM,2007,10090.0731321,9.504336,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,9.20632435554,8562.56554903
996,DOM,2007,10090.0731321,9.504336,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,9.20632435554,8562.56554903
997,DOM,2008,10041.5093069,9.636491,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,1.34903877355,1764.33517138
998,DOM,2009,10483.3463793,9.767737,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,1.63804574181,912.954556414
999,DOM,2009,10483.3463793,9.767737,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,1.63804574181,912.954556414
1000,DOM,2010,11137.9305132,9.897983,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,6.92060190445,2653.11629652
1001,DOM,2010,11137.9305132,9.897983,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,6.92060190445,2653.11629652
1005,DOM,2012,11630.9479664,10.155036,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,8.6164145553,3377.88068895
1006,DOM,2012,11630.9479664,10.155036,Dominican Republic,6.67,8.75,5.71,5.0,6.25,7.65,Flawed democracy,8.6164145553,3377.88068895
1008,DZA,1960,5078.30799187,11.3933640518,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,5.00291219877,109.712986815
1010,DZA,1966,3920.27936969,12.8866553371,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,4.42318029844,2786.75878733
1011,DZA,1967,4389.91794406,13.3267110489,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,1.50074537721,2251.11806582
1012,DZA,1969,4874.30145934,14.128585388,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,5.37916556492,14172.4733582
1013,DZA,1973,5953.84664507,15.804428,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,1.32874154003,9237.91737354
1015,DZA,1980,10960.7543375,19.337723,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,136.262164889,48113.5757297
1016,DZA,1981,11452.9096191,19.943667,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,2.15607290274,2.50706151482
1017,DZA,1982,11167.4232873,20.575701,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,1.79823763963,413.789061184
1018,DZA,1984,11571.6020252,21.893857,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,2.46644526819,67.1421211895
1019,DZA,1985,11831.4677389,22.565908,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,1.15218053712,664.719540645
1025,DZA,1994,6862.11657123,28.362015,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,3.71976391663,775.49144516
1026,DZA,1994,6862.11657123,28.362015,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,3.71976391663,775.49144516
1034,DZA,2001,8914.53062204,31.59032,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,29.1545004926,1437.8771725
1035,DZA,2002,8947.32552782,31.990387,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,1.50045074478,72.05289514
1036,DZA,2003,9702.25670805,32.394886,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,35.7463829322,3249.13938577
1037,DZA,2003,9702.25670805,32.394886,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,35.7463829322,3249.13938577
1043,DZA,2007,12377.681986,34.261971,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,2.3933240735,38.0888770234
1044,DZA,2008,12978.4106467,34.811059,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,2.67156480359,1696.30001776
1045,DZA,2009,11036.9957635,35.40179,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,1.35586364418,71.9737617787
1047,DZA,2012,13562.2301324,37.439427,Algeria,3.56,2.58,2.21,3.89,5.0,4.12,Authoritarian,1.84297692377,2.69769085942
1049,ECU,1967,2935.83186355,5.55432504687,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,6.48143558331,95.0610552218
1050,ECU,1969,2969.89198979,5.89531974591,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,67.8504334353,6785.04334353
1051,ECU,1970,3109.84946066,6.07252,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,4.03456884457,19655.1020005
1052,ECU,1970,3109.84946066,6.07252,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,4.03456884457,19655.1020005
1053,ECU,1971,3141.52446574,6.248831,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,3.20059863997,0.960179591991
1054,ECU,1976,4704.78263135,7.179399,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,1.46251796285,3133.96706326
1055,ECU,1976,4704.78263135,7.179399,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,1.46251796285,3133.96706326
1056,ECU,1980,5767.28970341,7.976449,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,1.00295256699,5.01476283494
1057,ECU,1982,5624.38406156,8.392935,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,36.5783840814,83403.4816188
1058,ECU,1987,4612.76712658,9.504132,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,268.409571753,8207.27237374
1059,ECU,1987,4612.76712658,9.504132,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,268.409571753,8207.27237374
1060,ECU,1989,4781.41321294,9.97738,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,3.50793494885,3006.80138473
1062,ECU,1991,5023.38687739,10.460988,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,32.7884899591,1446.42169554
1063,ECU,1992,5061.6752618,10.70567,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,2.05498581593,19148.7314666
1064,ECU,1993,4824.01507654,10.9512,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,42.004529184,6854.49996347
1066,ECU,1996,4994.86775344,11.68348,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,2.31095529757,2628.06971895
1067,ECU,1997,5072.67940496,11.924991,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,20.545088881,4109.60477874
1070,ECU,2000,5130.739098,12.628596,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,2.26998050034,2656.32590247
1071,ECU,2000,5130.739098,12.628596,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,2.26998050034,2656.32590247
1072,ECU,2000,5130.739098,12.628596,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,2.26998050034,2656.32590247
1073,ECU,2001,5216.2681606,12.852753,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,4.51265188088,741.475386635
1074,ECU,2002,5654.27922643,13.072056,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,2.37147086885,4179.37316058
1077,ECU,2008,8751.15016941,14.4476,Ecuador,5.81,8.25,4.64,5.0,4.38,6.76,Hybrid regime,2.83784157922,20011.7666602
1090,EGY,1992,2548.4414417,58.922018,Egypt,3.31,2.58,3.93,3.33,3.75,2.94,Authoritarian,9.3683145747,1572.40032071
1092,EGY,1994,3231.77359051,61.272847,Egypt,3.31,2.58,3.93,3.33,3.75,2.94,Authoritarian,9.79226573232,2622.04235426
1101,EGY,2008,7252.93826785,78.976122,Egypt,3.31,2.58,3.93,3.33,3.75,2.94,Authoritarian,1.24088138944,8.82545233102
1105,ESP,1982,13255.933305,38.212556,Spain,8.3,9.58,7.14,7.22,8.13,9.41,Full democracy,2.0150444791,5929.98803849
1106,ESP,1983,12837.0685774,38.415495,Spain,8.3,9.58,7.14,7.22,8.13,9.41,Full democracy,1.17140232086,13213.4181793
1111,ESP,1996,21693.1707537,39.878881,Spain,8.3,9.58,7.14,7.22,8.13,9.41,Full democracy,1.0657269947,51.769256013
1112,ESP,1996,21693.1707537,39.878881,Spain,8.3,9.58,7.14,7.22,8.13,9.41,Full democracy,1.0657269947,51.769256013
1169,ETH,2013,1246.07122316,94.558374,Ethiopia,3.6,0.0,3.57,5.56,5.63,3.24,Authoritarian,1.1633025754,3.04573765196
1170,FJI,1964,3527.18657276,0.450239573873,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,2.22103977089,39978.715876
1171,FJI,1965,2759.54542181,0.46302500234,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,4.31942117573,21597.1058787
1172,FJI,1972,3933.79847135,0.542811,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,5.52678556625,221071.42265
1173,FJI,1973,4313.74144615,0.554109,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,106.477245452,11098.899314
1174,FJI,1979,5744.25703174,0.621541,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,85.2719289637,57759.6650905
1175,FJI,1980,5666.25572874,0.635256,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,28.3350334353,55489.4404775
1176,FJI,1983,4751.75667805,0.685389,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,13.1312291268,308067.389468
1177,FJI,1985,4981.83233102,0.711663,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,44.9651028647,171429.454672
1178,FJI,1986,5010.90420586,0.718548,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,13.9169547476,151694.806749
1179,FJI,1986,5010.90420586,0.718548,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,13.9169547476,151694.806749
1180,FJI,1987,4979.20935681,0.721725,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,1.38556929578,4667.9829575
1181,FJI,1992,5886.76275299,0.744534,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,1.34312200652,2686.24401303
1182,FJI,1993,5906.38819925,0.755024,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,27.8136853928,211917.766852
1183,FJI,1997,6061.90056728,0.792859,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,31.5314576741,4414.40407437
1184,FJI,1999,6283.94248942,0.806494,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,14.8792179483,2197.16451703
1185,FJI,2003,6099.81446812,0.816626,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,20.8173631503,36736.5232065
1186,FJI,2004,6290.2639384,0.818355,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,19.5514171723,6109.81786633
1187,FJI,2006,6462.49048212,0.82739,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,4.83447950785,270.73085244
1188,FJI,2007,6469.85978664,0.834729,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,4.19297760111,580.427899354
1189,FJI,2007,6469.85978664,0.834729,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,4.19297760111,580.427899354
1190,FJI,2009,6651.72303587,0.851854,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,8.21737058228,8452.73955396
1191,FJI,2009,6651.72303587,0.851854,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,8.21737058228,8452.73955396
1192,FJI,2010,6929.80004716,0.859952,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,2.32571120249,45468.8168642
1193,FJI,2012,7381.48702809,0.874158,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,9.72364263669,15983.9525578
1194,FJI,2012,7381.48702809,0.874158,Fiji,5.64,4.58,5.71,6.67,5.63,5.59,Hybrid regime,9.72364263669,15983.9525578
1237,GAB,1996,9472.95030167,1.114879,Gabon,3.74,2.58,2.21,4.44,5.63,3.82,Authoritarian,40.3631246081,13.4543748694
1238,GAB,2001,9477.75470373,1.260435,Gabon,3.74,2.58,2.21,4.44,5.63,3.82,Authoritarian,39.6688444862,7.93376889725
1264,GEO,1991,9127.45842376,5.418449,Georgia,5.93,8.67,4.29,6.11,5.0,5.59,Hybrid regime,1.47643726092,690.234419481
1267,GEO,1997,2955.30762424,4.921287,Georgia,5.93,8.67,4.29,6.11,5.0,5.59,Hybrid regime,1.42239215067,101.599439334
1268,GEO,2002,3316.90471598,4.629853,Georgia,5.93,8.67,4.29,6.11,5.0,5.59,Hybrid regime,1.29593747361,4137.49637407
1270,GEO,2011,8005.98238824,4.196401,Georgia,5.93,8.67,4.29,6.11,5.0,5.59,Hybrid regime,1.66809606613,417.024016532
1271,GEO,2012,8512.25229045,4.13892,Georgia,5.93,8.67,4.29,6.11,5.0,5.59,Hybrid regime,1.20804461067,24165.241174
1272,GHA,1984,1766.99617267,12.311166,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,8.36638869137,121.84061201
1274,GHA,1988,1998.08145631,13.852597,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,1.08282945068,9.96203094626
1277,GHA,1995,2028.81798576,16.760991,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,8.65103978637,41763.640348
1278,GHA,1996,1994.99181536,17.169214,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,23.9381954235,218.821898312
1279,GHA,1997,2135.99482347,17.568583,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,1.47991445867,9.05024611262
1280,GHA,1998,2094.46429069,17.969006,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,3.72864253037,86.0370351037
1281,GHA,1999,2297.78896823,18.384426,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,2.06696689905,8860.70633916
1282,GHA,1999,2297.78896823,18.384426,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,2.06696689905,8860.70633916
1286,GHA,2005,2443.68700213,21.389514,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,1.87007521536,105.098227103
1287,GHA,2007,2464.68823704,22.528041,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,2.48579093051,14763.8225623
1288,GHA,2009,2577.22273876,23.713164,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,1.68682677689,6728.11945298
1289,GHA,2010,2690.50545967,24.317734,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,1.85050136662,355.172895632
1290,GHA,2010,2690.50545967,24.317734,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,1.85050136662,355.172895632
1291,GHA,2011,3440.03214162,24.928503,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,2.42694075934,2086.88824997
1292,GHA,2011,3440.03214162,24.928503,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,2.42694075934,2086.88824997
1293,GHA,2012,3808.22966891,25.544565,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,2.97519257032,213.000299672
1296,GHA,2014,3570.1867124,26.786598,Ghana,6.75,8.33,5.71,6.11,6.25,7.35,Flawed democracy,9.29569331649,2108.10644935
1297,GIN,1983,2119.95264865,4.80474,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,57.235146959,4461.42767351
1298,GIN,1987,2129.46048821,5.375058,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,3.3488010734,5.58133512234
1299,GIN,1994,1947.77167674,7.536389,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,41.2664473662,3184.54899289
1300,GIN,1999,1638.80572132,8.647336,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,1.38771061978,14.2240338527
1301,GIN,2000,1549.20539246,8.799165,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,21.5929579682,36.5943813987
1302,GIN,2001,1418.96794241,8.955756,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,1.17243033419,12290.5871933
1303,GIN,2001,1418.96794241,8.955756,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,1.17243033419,12290.5871933
1304,GIN,2002,1317.11642923,9.114287,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,2.52351061581,13.4952959019
1305,GIN,2003,1186.08774344,9.281572,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,2.58576887622,4.63283590323
1306,GIN,2004,1127.24638623,9.464771,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,10.5654959851,115.375216157
1307,GIN,2005,1082.18259875,9.669023,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,7.44646072307,194.849055587
1308,GIN,2006,1075.27015558,9.898301,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,13.0325396247,30.1061768075
1309,GIN,2007,1099.92260097,10.152521,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,8.86479328632,237.379464667
1312,GIN,2012,1266.49030831,11.628767,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,9.02933217253,474.942872275
1313,GIN,2014,1428.54642055,12.275527,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,207.241611704,310.699491761
1314,GMB,1997,1638.17242225,1.126786,Gambia,2.91,1.75,3.21,2.22,5.0,2.35,Authoritarian,106.497595817,703.771612356
1315,GMB,1999,1705.71854492,1.19292,Gambia,2.91,1.75,3.21,2.22,5.0,2.35,Authoritarian,44.4287965664,26824.9337759
1316,GMB,2000,1765.16900493,1.228863,Gambia,2.91,1.75,3.21,2.22,5.0,2.35,Authoritarian,17.0889676066,94.3962020176
1318,GMB,2003,1621.88423809,1.350345,Gambia,2.91,1.75,3.21,2.22,5.0,2.35,Authoritarian,2.22165446608,5938.48238783
1319,GMB,2004,1790.05457783,1.394727,Gambia,2.91,1.75,3.21,2.22,5.0,2.35,Authoritarian,1.43397238313,4400.14425762
1320,GMB,2009,1658.87674915,1.638899,Gambia,2.91,1.75,3.21,2.22,5.0,2.35,Authoritarian,3.05082863557,8699.74293718
1321,GMB,2010,1699.46333449,1.693002,Gambia,2.91,1.75,3.21,2.22,5.0,2.35,Authoritarian,5.31600080803,23012.967498
1322,GMB,2013,1567.67551792,1.866878,Gambia,2.91,1.75,3.21,2.22,5.0,2.35,Authoritarian,1.07130728414,1767.65701883
1323,GNB,1987,1275.83508978,0.987718,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,34.9289979529,4911.82705995
1324,GNB,1987,1275.83508978,0.987718,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,34.9289979529,4911.82705995
1325,GNB,1994,1409.61387957,1.155111,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,168.814945057,7472.00918353
1326,GNB,1996,1412.32566108,1.207006,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,796.184940257,22342.0596087
1327,GNB,1997,1592.12445554,1.23352,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,633.147415526,18077.534211
1328,GNB,1998,1329.20736844,1.260424,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,2.3801514411,1190.07572055
1329,GNB,1999,1535.22386247,1.287727,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,313.731093625,1684.36322295
1330,GNB,2004,1368.3381776,1.431816,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,2.09524128799,418.699050716
1331,GNB,2004,1368.3381776,1.431816,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,2.09524128799,418.699050716
1332,GNB,2005,1334.93015889,1.462784,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,272.767544627,17166.5809853
1333,GNB,2008,1273.18225783,1.561293,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,141.549344037,8969.48875067
1334,GNB,2010,1266.36494361,1.634196,Guinea-Bissau,1.98,1.67,0.0,2.78,3.13,2.35,Authoritarian,1.22384340679,34752.2573792
1335,GNQ,2004,13125.6621991,0.606201,Equatorial Guinea,1.7,0.0,0.43,2.22,4.38,1.47,Authoritarian,24.7442679903,1560.53850126
1336,GRC,1965,7154.20395243,8.5365929948,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,4.45142459329,3543.91969002
1338,GRC,1967,8022.44198049,8.70243419738,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,1.03419339875,1905.55879239
1339,GRC,1968,8514.63912176,8.72671857403,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,2.17722157978,872.95126288
1340,GRC,1977,13245.3126227,9.255749,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,2.91710589818,172.865534707
1341,GRC,1978,14013.0192722,9.388188,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,5.32584136577,63920.7480719
1343,GRC,1981,14071.3915671,9.704947,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,2.47296559167,8330.80283694
1344,GRC,1986,14658.5354257,9.945576,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,2.0109443636,4554.78898356
1347,GRC,1994,18982.122981,10.54297,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,1.3278990645,94.8499331782
1348,GRC,1995,19813.611115,10.641169,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,4.88668115317,2721.50550377
1351,GRC,1999,23316.4488439,10.910741,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,13.1063508885,10552.8121326
1352,GRC,2000,23850.6212826,10.954032,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,1.12591722695,209.511894798
1353,GRC,2000,23850.6212826,10.954032,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,1.12591722695,209.511894798
1354,GRC,2000,23850.6212826,10.954032,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,1.12591722695,209.511894798
1355,GRC,2001,25102.7767147,10.987715,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,1.00111806686,95.5612700184
1359,GRC,2007,31022.8702357,11.131302,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,3.14428626588,269.330577861
1360,GRC,2007,31022.8702357,11.131302,Greece,7.23,9.58,5.36,6.11,6.25,8.82,Flawed democracy,3.14428626588,269.330577861
1365,GTM,1969,2977.31654818,5.30694168955,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,25.7210287931,961.759201171
1366,GTM,1969,2977.31654818,5.30694168955,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,25.7210287931,961.759201171
1368,GTM,1976,3482.05468825,6.408029,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,3589.24717725,779178.745914
1369,GTM,1982,3624.54143232,7.508161,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,82.5768120849,2697.86436386
1370,GTM,1987,3389.48669627,8.523785,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,9.85477695648,764.331807994
1372,GTM,1991,3776.09633058,9.385,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,10.3356419819,2700.58604156
1373,GTM,1991,3776.09633058,9.385,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,10.3356419819,2700.58604156
1375,GTM,1995,4237.52692109,10.357354,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,2.99304243149,717.847434779
1376,GTM,1998,4616.87036908,11.136814,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,13.5287045888,3204.17790342
1377,GTM,1998,4616.87036908,11.136814,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,13.5287045888,3204.17790342
1378,GTM,1998,4616.87036908,11.136814,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,13.5287045888,3204.17790342
1381,GTM,2000,4799.70677777,11.68866,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,3.07990821874,255.461276143
1382,GTM,2001,4883.56615905,11.976725,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,1.53074678874,3345.21053683
1383,GTM,2001,4883.56615905,11.976725,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,1.53074678874,3345.21053683
1384,GTM,2001,4883.56615905,11.976725,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,1.53074678874,3345.21053683
1385,GTM,2002,5007.79478467,12.272208,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,1.92847665772,109.081158555
1386,GTM,2002,5007.79478467,12.272208,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,1.92847665772,109.081158555
1387,GTM,2002,5007.79478467,12.272208,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,1.92847665772,109.081158555
1388,GTM,2003,5057.02884797,12.573346,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,1.74973312593,17.4973312593
1389,GTM,2005,5220.55899588,13.183505,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,60.0371449019,18122.987779
1390,GTM,2005,5220.55899588,13.183505,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,60.0371449019,18122.987779
1392,GTM,2008,5902.55861458,14.106687,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,2.12665099892,13986.2747362
1393,GTM,2009,6094.0687523,14.418033,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,2.49687318652,210.014778021
1394,GTM,2010,6250.60782846,14.732261,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,7.70418064138,15301.0457797
1395,GTM,2010,6250.60782846,14.732261,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,7.70418064138,15301.0457797
1396,GTM,2011,6544.93676359,15.04928,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,2.05989921113,17782.5118544
1397,GTM,2011,6544.93676359,15.04928,Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybrid regime,2.05989921113,17782.5118544
